Date,Open,High,Low,Close
3/20/2019,34.02,34.25,33.76,33.91
3/21/2019,34.17,34.17,33.65,33.65
3/22/2019,33.65,33.87,33.61,33.61
3/25/2019,32.98,33.57,32.98,33.13
3/26/2019,33.57,33.57,33.2,33.39
3/27/2019,33.42,33.65,33.42,33.57
3/28/2019,33.39,33.84,33.39,33.69
3/29/2019,34.02,34.02,33.8,33.95
4/1/2019,34.25,34.25,33.95,34.17
4/2/2019,34.17,34.84,34.17,34.32
4/3/2019,34.62,35.22,34.32,35.22
4/4/2019,35.44,35.96,35.25,35.66
4/5/2019,35.66,35.74,35.4,35.66
4/8/2019,35.55,35.81,35.4,35.66
4/9/2019,35.66,36.19,35.29,35.29
4/10/2019,35.07,35.29,34.88,34.99
4/11/2019,34.99,35.44,34.95,35.07
4/12/2019,34.95,36.11,34.95,35.96
4/16/2019,35.44,35.96,35.44,35.74
4/17/2019,36.04,36.93,35.96,36.19
4/18/2019,36.19,36.75,35.85,36.19
4/19/2019,36.33,36.48,36.11,36.15
4/22/2019,36.19,36.19,35.66,35.74
4/23/2019,35.74,36.15,35.44,35.74
4/24/2019,36.19,36.3,35.89,36.22
4/25/2019,36.19,36.67,36.15,36.41
4/26/2019,36.48,37.12,36.41,36.97
5/2/2019,37.16,37.45,37.04,37.19
5/3/2019,37.23,37.3,37.01,37.3
5/6/2019,36.56,36.86,36.15,36.37
5/7/2019,36.63,37.08,36.6,37.08
5/8/2019,36.78,37.08,36.56,37.04
5/9/2019,37.01,37.04,36.26,36.26
5/10/2019,36.56,36.75,36.37,36.56
5/13/2019,36.56,37.16,36.56,36.93
5/14/2019,36.89,37.9,36.63,37.45
5/15/2019,37.68,37.75,37.38,37.6
5/16/2019,37.6,37.83,37.04,37.04
5/17/2019,37.69,37.69,37.1,37.23
5/20/2019,37.27,37.94,37.27,37.9
5/21/2019,38.11,38.57,37.98,38.44
5/22/2019,38.44,38.65,37.9,37.9
5/23/2019,37.9,38.36,37.86,38.28
5/24/2019,38.11,38.49,37.9,38.19
5/27/2019,37.94,38.02,37.4,37.9
5/28/2019,37.69,38.02,37.48,37.56
5/29/2019,37.56,37.56,36.85,36.94
5/30/2019,36.94,37.44,36.77,37.31
5/31/2019,37.35,37.52,36.94,36.94
6/3/2019,36.85,36.94,36.43,36.43
6/4/2019,36.43,36.6,36.22,36.27
6/5/2019,36.43,36.77,36.43,36.52
6/6/2019,36.68,37.44,36.52,37.27
6/7/2019,37.52,37.9,37.52,37.86
6/10/2019,38.11,38.28,37.52,37.77
6/11/2019,37.77,38.19,37.61,37.86
6/12/2019,37.86,38.19,37.69,37.73
6/13/2019,37.73,37.77,37.27,37.31
6/14/2019,37.35,37.61,37.19,37.19
6/17/2019,36.94,37.27,36.77,36.89
6/18/2019,37.15,37.23,36.64,36.89
6/19/2019,37.1,37.44,37.02,37.4
6/20/2019,37.56,38.02,37.4,38.02
6/21/2019,38.11,38.19,37.9,38.02
6/24/2019,38.02,38.07,37.82,37.82
6/25/2019,37.69,38.99,37.52,38.95
6/26/2019,38.95,38.95,38.61,38.65
6/27/2019,38.61,38.61,37.94,38.02
6/28/2019,37.98,38.53,37.61,38.11
7/1/2019,38.53,39.45,38.44,39.45
7/2/2019,39.36,39.78,39.07,39.28
7/3/2019,39.11,39.28,38.99,39.2
7/4/2019,39.36,39.53,39.2,39.32
7/5/2019,39.2,39.36,38.86,39.03
7/8/2019,38.95,39.28,38.57,38.78
7/9/2019,38.78,39.24,38.61,39.16
7/10/2019,39.32,39.74,39.2,39.41
7/11/2019,39.49,39.57,39.2,39.36
7/12/2019,39.45,39.74,39.2,39.36
7/15/2019,39.32,39.83,39.24,39.62
7/16/2019,39.66,40.04,39.57,39.62
7/17/2019,39.62,39.78,39.36,39.41
7/18/2019,39.36,39.45,39.2,39.2
7/19/2019,39.32,40.45,39.28,40.37
7/22/2019,40.37,40.75,40.16,40.5
7/23/2019,40.62,40.87,40.29,40.87
7/24/2019,41.33,41.38,40.71,40.71
7/25/2019,40.71,41,40.62,40.75
7/26/2019,40.62,40.87,40.5,40.87
7/29/2019,40.87,40.87,40.37,40.71
7/30/2019,40.71,40.71,39.95,40.04
7/31/2019,40.04,40.54,39.78,40.54
8/1/2019,40.54,40.71,40.37,40.5
8/2/2019,40.24,41.04,40.08,40.87
8/5/2019,40.91,41.71,40.87,41.04
8/6/2019,40.37,41.29,40.37,41
8/7/2019,41.04,41.67,41,41.67
8/8/2019,41.75,42.38,41.75,42.13
8/9/2019,42.13,43.05,41.88,42.8
8/12/2019,42.8,44.06,42.46,43.8
8/13/2019,43.64,44.56,43.3,43.97
8/14/2019,44.39,44.98,44.22,44.56
8/15/2019,44.3,45.24,43.88,45.24
8/16/2019,45.24,47.03,44.39,44.39
8/19/2019,44.47,44.98,43.7,44.73
8/20/2019,44.81,46.09,44.81,46.09
8/21/2019,46.18,46.52,45.58,45.75
8/22/2019,45.75,46.35,45.16,45.24
8/23/2019,45.33,46.44,44.9,46.44
8/26/2019,45.84,46.27,45.75,45.84
8/27/2019,46.09,46.35,45.07,45.07
8/28/2019,45.24,45.41,44.47,44.47
8/29/2019,44.56,45.07,44.3,44.98
